name,emergency,addr:city,addr:street,addr:housenumber,addr:postcode,healthcare,website,phone,opening_hours,operator,beds,old_name,healthcare:speciality,social_facility:for,social_facility,wheelchair
Culberson Hospital,yes,Van Horn,Eisenhower & FM 2185,,79855.0,hospital,http://www.culbersonhospital.org/,+1 432 283 2760,24/7,,14.0,,,,,
Cumberland Surgical Hospital,yes,San Antonio,North Loop 1604 West,5330,78249.0,hospital,http://cumberlandsh.com/,+1 210 877 8000,24/7,,,,,,,
Cypress Creek Hospital,no,Houston,Cali Drive,1775-,77090.0,hospital,https://www.cypresscreekhospital.com/,+1 281 586 7600,24/7,,,,psychiatry,,,
Cypress Fairbanks Medical Center,yes,Houston,Steepletop Drive,10655,77065.0,hospital,https://cyfairhospital.com/,+1 281 890 4285,24/7,HCA,180.0,,,,,
Dallas Medical Center,yes,Dallas,Medical Parkway,7,75234.0,hospital,https://www.dallasmedcenter.com/,+1 972 888 7000,24/7,,,RHD Memorial Medical Center,,,,
Dallas Regional Medical Center,yes,Mesquite,North Galloway Avenue,1101,75149.0,hospital,https://www.dallasregionalmedicalcenter.com/,+1 214 320 7000,24/7,,,,,,,
Dallas VA Medical Center,yes,Dallas,South Lancaster Road,4500,75216.0,hospital,https://www.northtexas.va.gov/,+1 800 849 3597,24/7,United States Department of Veterans Affairs,,,,,,
Dell Children's Medical Center of Central Texas,yes,Austin,Mueller Boulevard,4900,78723.0,hospital,https://www.dellchildrens.net/,+1 512 324 0000,24/7,Seton Healthcare Family,,,paediatrics,,,
Dell Seton Medical Center at The University of Texas,yes,Austin,Red River Street,1500,78701.0,hospital,https://www.seton.net/locations/dell-seton/,Dell Seton Medical Center at The University of Texas,24/7,Seton Healthcare Family,211.0,,,,,yes
Del Sol Medical Center,yes,El Paso,Gateway Boulevard West,10301,79925.0,hospital,https://laspalmasdelsolhealthcare.com/location/del-sol-medical-center,+1 915 595 9000,24/7,Las Palmas Del Sol Healthcare,,,,,,
Denton State Supported Living Center,no,Denton,State School Road,3980,76210.0,hospital,https://www.dads.state.tx.us/services/sslc/,+1 940 891 0342,,Texas Department of Aging and Disability Services,,,,mental_health,group_home,
DePaul Center,no,Waco,Londonderry Drive,301,76712.0,hospital,https://www.providence.net/locations/providence-depaul-center/,+1 254 776 5970,24/7,Providence Healthcare Network,,,psychiatry,,,
DeTar Hospital Navarro,yes,Victoria,East San Antonio Street,506,77901.0,hospital,https://www.detar.com/,+1 361 575 7441,24/7,DeTar Health System,,,,,,
DeTar Hospital North,yes,Victoria,Medical Drive,101,77904.0,hospital,https://www.detar.com/,+1 361 573 6100,24/7,DeTar Health System,,,,,,
Dimmit Regional Hospital,yes,Carrizo Springs,Hospital Drive,704,78834.0,hospital,http://dimmitregionalhospital.com/,+1 830 876 2424,24/7,,,,,,,
Doctors Hospital at Renaissance,yes,Edinburg,South McColl Road,5501,78539.0,hospital,https://www.dhr-rgv.com/,+1 956 362 8677,24/7,Doctors Hospital at Renaissance,235.0,,,,,
Doctors Hospital of Laredo,yes,Laredo,McPherson Road,10700,78045.0,hospital,https://www.doctorshosplaredo.com/,+1 956 523 2000,24/7,Universal Health Services,,,,,,
Driscoll Children's Hospital,yes,Corpus Christi,South Alameda Street,3533,78411.0,hospital,http://www.driscollchildrens.org/,+1 361 694 5000,24/7,,,,paediatrics,,,
Eastland Memorial Hospital,yes,Eastland,South Daugherty Avenue,304,76448.0,hospital,http://www.eastlandmemorial.com/,+1 254 629 2601,24/7,,,,,,,
East Texas Medical Center - Athens,yes,Athens,South Palestine Street,2000,75751.0,,https://www.etmc.org/location/etmc-athens/,,,,,,,,,
East Texas Medical Center - Carthage,yes,Carthage,Cottage Road,409,75633.0,,https://www.etmc.org/location/etmc-carthage/,,,,,,,,,
East Texas Medical Center - Jacksonville,yes,Jacksonville,South Ragsdale Street,501,75766.0,,https://www.etmc.org/location/etmc-jacksonville/,,,,,,,,,
Edinburg Regional Medical Center,yes,Edinburg,West Trenton Road,1102,78539.0,hospital,https://www.edinburgregional.com/,+1 956 388 6000,24/7,Universal Health Services,,,,,,
El Campo Memorial Hospital,yes,Angleton,Sandy Corners Road,303,77437.0,hospital,http://www.ecmh.org/,+1 979 543 6251,24/7,,,,,,,
Electra Memorial Hospital,yes,Electra,South Bailey Street,1207,76360.0,hospital,https://www.electrahospital.com/,+1 940 495 3981,24/7,,,,,,,
El Paso Specialty Hospital,yes,El Paso,Curie Drive,1755,79902.0,hospital,https://elpasospecialtyhospital.com/,+1 915 544 3636,24/7,,,,,,,
El Paso State Supported Living Center,no,El Paso,Delta Drive,6700,79905.0,hospital,https://www.dads.state.tx.us/services/sslc/,+1 915 782 6300,,Texas Department of Aging and Disability Services,,,,mental_health,group_home,
El paso VA Health Care Clinic,no,El Paso,North Piedras Street,5001,79930.0,hospital,https://www.elpaso.va.gov/,+1 915 564 6100,,United States Department of Veterans Affairs,,,,,,
Ennis Regional Medical Center,yes,Ennis,West Lampasas Street,2203,75119.0,hospital,https://www.ennisregional.com/,+1 972 875 0900,24/7,,,,,,,
Faith Community Hospital,yes,Jacksboro,Chisholm Trail,215,76458.0,hospital,https://www.fchtexas.com/,+1 940 567 6633,24/7,,,,,,,
Falls Community Hospital and Clinic,yes,Marlin,Coleman Street,322,76661.0,hospital,http://www.fallshospital.com/,+1 254 803 3561,24/7,,36.0,,,,,
First Aid,no,,,,,,,,,,,,,,,
First Texas Hospital,yes,Houston,Louetta Road,9922,77070.0,hospital,https://firsttexashospitalcyfair.com/,+1 346 206 2300,24/7,,50.0,,,,,
Fisher County Hospital,yes,Rotan,State Highway 70 North,774,79546.0,hospital,http://www.fishercountyhospital.com/,+1 325 735 2256,24/7,Fisher County Hospital District,14.0,,,,,
Fort Duncan Regional Medical Center,yes,Eagle Pass,N. Foster Maldonado Boulevard,333,78852.0,hospital,https://www.fortduncanmedicalcenter.com/,+1 830 773 5321,24/7,Universal Health Services,,,,,,
Foundation Surgical Hospital of El Paso,yes,El Paso,George Dieter Drive,1416,79936.0,hospital,http://www.foundationhospitals.com/elpaso/,+1 915 598 4240,24/7,Foundation HealthCare,40.0,,surgery,,,
Foundation Surgical Hospital of San Antonio,yes,San Antonio,Huebner Road,9522,78240.0,hospital,https://www.fshsanantonio.com/,+1 210 478 5400,24/7,,20.0,,,,,
Freestone Medical Center,yes,Fairfield,Newman Street,125,75840.0,hospital,https://www.freestonemc.com/,+1 903 389 2121,24/7,,,East Texas Medical Center - Fairfield,,,,
Frio Regional Hospital,yes,Pearsall,I 35,200,78061.0,hospital,https://www.frioregionalhospital.com/,+1 830 334 3617,24/7,,,,,,,
Glen Rose Medical Center,yes,Glen Rose,Holden Street,1021,76043.0,hospital,http://www.glenrosemedicalcenter.com/,+1 254 897 2215,24/7,,,,,,,
Golden Plains Community Hospital,yes,Borger,Medical Drive,100,79007.0,hospital,http://www.goldenplains.org/,+1 806 467 5700,24/7,,,,,,,
Gonzales Healthcare Systems,yes,Gonzales,North Sarah Dewitt Drive,1110,78629.0,hospital,http://www.gonzaleshealthcare.com/,+1 830 672 7581,24/7,Gonzales Healthcare Systems,,Memorial Hospital,,,,
Goodall-Witcher Hospital,yes,Clifton,Posey Avenue,101,76634.0,hospital,http://www.gwhf.org/,+1 254 675 8322,24/7,,,,,,,
Grace Medical Center,no,Lubbock,50th Street,2412,79412.0,hospital,https://gracehealthsystem.com/locations/grace-medical-center/,+1 806 788 4100,,Grace Health System,,Highland Medical Center,,,,
Graham Regional Medical Center,yes,Graham,Montgomery Road,1301,76450.0,hospital,https://grahamrmc.com/,+1 940 549 3400,24/7,,,,,,,
Guadalupe Regional Medical Center,yes,Seguin,East Court Street,1215,78155.0,hospital,https://www.grmedcenter.com/,+1 830 379 2411,24/7,,,Guadalupe Valley Hospital,,,,
Hamilton General Hospital,yes,Hamilton,North Brown Street,400,76531.0,hospital,http://hamiltonhospital.org/,+1 254 386 1600,24/7,Hamilton Healthcare System,,,,,,
Hamlin Memorial Hospital,yes,Hamlin,Northwest 2nd Street,632,79520.0,hospital,http://www.hamlinhealth.org/,+1 325 576 3646,24/7,,,,,,,
Hansford County Hospital,yes,Spearman,Roland Street,707,79081.0,hospital,https://www.hchd.net/,+1 806 659 2535,24/7,,,,,,,
Hardeman County Memorial Hospital,yes,Quanah,Mercer Street,402,79252.0,hospital,http://www.hcmhosp.com/,+1 940 663 2795,24/7,,,,,,,
Harlingen Medical Center,yes,Harlingen,US 77,5501,78550.0,hospital,https://www.harlingenmedicalcenter.com/,+1 956 365 1000,24/7,Prime Healthcare,,,,,,
Harris Methodist HEB Hospital,yes,Bedford,Hospital Parkway,1600,76022.0,hospital,https://www.texashealth.org/heb/,+1 817 848 4000,24/7,Texas Health,,,,,,
Harris Methodist Southwest Hospital,yes,Fort Worth,Harris Parkway,6100,76132.0,hospital,https://www.texashealth.org/southwestfw/,+1 817 433 5000,24/7,Texas Health,,,,,,
Haskell Memorial Hospital,yes,Haskell,Avenue N,1,79521.0,hospital,https://www.haskellmemorialhospital.com/,+1 940 864 2621,24/7,,,,,,,
HCA Houston Healthcare Pearland,,,,,,hospital,,,,,,,,,,
Healthsouth City View Rehabilitation Hospital,no,Fort Worth,Oakmont Boulevard,6701,76132.0,hospital,http://www.healthsouthcityview.com/,+1 817 370 4700,,HealthSouth Corporation,,,,,,
HEALTHSOUTH Plano Rehabilitation Center,,,,,,hospital,,,,,,,,,,
Healthsouth Rehabilitation Hospital of Arlington,no,Arlington,Matlock Road,3200,76015.0,hospital,http://www.healthsoutharlington.com/,+1 817 468 4000,,HealthSouth Corporation,,,,,,
HealthSouth Rehabilitation Hospital of Austin,no,Austin,West Ben White Boulevard,330,78704.0,hospital,http://www.healthsouthaustin.com/,+1 512 730 4800,,HealthSouth Corporation,60.0,,,,,
HealthSouth Rehabilitation Hospital of Fort Worth,no,Fort Worth,West Lancaster Avenue,1212,76102.0,hospital,http://www.healthsouthfortworth.com/,+1 817 870 2336,,HealthSouth Corporation,,,,,,
HealthSouth Rehabilitation Hospital of Humble,no,Houston,McKay Boulevard,19002,77076.0,hospital,http://www.healthsouthhumble.com/,+1 281 446 6148,,HealthSouth Corporation,68.0,,,,,
HealthSouth Rehabilitation Hospital of Midland/Odessa,no,Midland,Heritage Boulevard,1800,79707.0,hospital,http://www.healthsouthmidland.com/,+1 432 520 1600,,HealthSouth Corporation,,,,,,
Heart Hospital of Austin,,,,,,hospital,,,,,,,,,,
Heart Of Texas Memorial Hospital,yes,Brady,Nine Road,2008,76825.0,hospital,https://www.heartoftexashealthcare.org/,+1 325 597 2901,24/7,,25.0,,,,,
Hemphill County Hospital,yes,Canadian,South 4th Street,1020,79014.0,hospital,http://hchdst.org/,+1 806 323 6422,24/7,,,,,,,
Hendrick Medical Center,yes,Abilene,Pine Street,1900,79601.0,hospital,http://www.ehendrick.org/,+1 325 670 2000,24/7,,564.0,,,,,
Hereford Regional Medical Center,yes,Hereford,West 15th Street,540,79045.0,hospital,https://dschd.org/,+1 806 364 2141,24/7,Deaf Smith County Hospital District,,,,,,
Highlands Rehabilitation Hospital,no,El Paso,George Dieter Drive,1395,79936.0,hospital,http://www.highlandsrehabilitationhospital.com/,+1 915 298 7222,,,,,,,,
Hill Country Memorial Hospital,yes,Fredericksburg,South State Highway 16,1020,78624.0,hospital,https://hillcountrymemorial.org/,+1 830 997 4353,24/7,,,,,,,
Hill Regional Hospital,,,,,,hospital,,,,,,,,,,
Houston Behavioral Healthcare Hospital,no,Houston,Gessner Road,2801,77080.0,hospital,https://www.houstonbehavioralhealth.com/,+1 832 834 7710,,,,Memorial Behavioral Health Center,psychiatry,,,
Houston Methodist Hospital,yes,Houston,Fannin Street,6565,77030.0,hospital,https://www.houstonmethodist.org/,+1 713 790 3311,24/7,,,,,,,
Houston Methodist Saint Catherine Hospital,no,Katy,South Fry Road,701,77450.0,hospital,https://www.houstonmethodist.org/locations/long-term-acute-care/st-catherine-katy/,+1 832 522 7550,,Houston Methodist,,,,,,
Houston Methodist Saint John Hospital,yes,Nassau Bay,Saint John Drive,18300,77058.0,hospital,https://www.houstonmethodist.org/locations/st-john/,+1 281 523 2000,24/7,Houston Methodist,,,,,,
Houston Methodist San Jacinto Alexander Campus,no,Baytown,North Alexander Drive,2610,77520.0,hospital,https://www.houstonmethodist.org/locations/san-jacinto-baytown/,+1 281 420 8600,,Houston Methodist,,,,,,
Houston Methodist San Jacinto Hospital,yes,Baytown,Garth Road,4401,77521.0,hospital,https://www.houstonmethodist.org/locations/san-jacinto-baytown/,+1 281 420 8600,24/7,Houston Methodist,,San Jacinto Methodist Hospital,,,,
Houston Methodist Sugar Land Hospital,yes,Sugar Land,Southwest Freeway,16655,77479.0,hospital,https://www.houstonmethodist.org/locations/sugar-land/,+1 281 274 7000,24/7,Houston Methodist,,Methodist Health Center - Sugar Land,,,,yes
Houston Methodist The Woodlands Hospital,yes,The Woodlands,Interstate 45 South,17201,77385.0,hospital,https://www.houstonmethodist.org/locations/the-woodlands/,+1 936 270 2000,24/7,Houston Methodist,,,,,,
Houston Methodist West Hospital,yes,Houston,Katy Freeway,18500,77094.0,hospital,https://www.houstonmethodist.org/locations/katy-west/,+1 832 522 5522,24/7,Houston Methodist,,,,,,
Houston Methodist Willowbrook Hospital,yes,Houston,State Highway 249,18220,77070.0,hospital,https://www.houstonmethodist.org/locations/willowbrook/,+1 281 737 2500,24/7,Houston Methodist,312.0,,,,,
Houston Northwest Medical Center,yes,Houston,Cypress Creek Parkway,710,77090.0,hospital,https://hnmc.com/,+1 281 440 1000,24/7,HCA,,,,,,
Houston Physicians' Hospital,yes,Webster,North Texas Avenue,333,77598.0,hospital,https://www.houstonphysicianshospital.com/,+1 281 557 5620,24/7,,21.0,,surgery,,,
Humble Surgical Hospital,yes,Humble,FM 1960 East Bypass,1475,77338.0,hospital,http://humblesurgical.com/,+1 281 964 2100,24/7,,5.0,,surgery,,,
Hunt Regional Medical Center,yes,Greenville,Joe Ramsey Boulevard,4215,75401.0,hospital,https://www.huntregional.org/,+1 903 408 5000,24/7,Hunt Regional Healthcare,,,,,,
Huntsville Memorial Hospital,yes,Huntsville,Memorial Hospital Drive,110,77340.0,hospital,https://www.huntsvillememorial.com/,+1 936 291 3411,24/7,,,,,,,
Iraan General Hospital District,yes,Iraan,Highway 349 North,600,79744.0,hospital,http://www.igh-hospital.com/,+1 432 639 2575,24/7,,,,,,,
Jackson County Hospital,yes,Edna,South Wells Street,1013,77957.0,hospital,http://www.jchd.org/,+1 361 782 7800,24/7,,,,,,,
Jennie Sealy Hospital,no,Galveston,Texas Avenue,712,77550.0,hospital,https://www.utmbhealth.com/locations/hospitals-campuses/galveston-campus/hospitals-services/jennie-sealy-hospital,+1 409 772 1011,24/7,The University of Texas Medical Branch,,,,,,
John Peter Smith Hospital,yes,Fort Worth,South Main Street,1500,76104.0,hospital,https://www.jpshealthnet.org/,+1 817 702 3431,24/7,JPS Health Network,,,,,,
John Sealy Hospital,yes,Galveston,8th Street,301,77555.0,hospital,https://www.utmbhealth.com/locations/hospitals-campuses/galveston-campus/hospitals-services/john-sealy-hospital,+1 409 772 1011,24/7,,,,,,,
Kell West Regional Hospital,yes,Wichita Falls,Kell Boulevard,5420,76310.0,hospital,https://www.kellwest.com/,+1 940 692 5888,24/7,,,,,,,
Kerrville State Hospital,no,Kerrville,Thompson Drive,721,78028.0,hospital,https://www.dshs.texas.gov/mhhospitals/KerrvilleSH/,+1 830 896 2211,,,,,,,,
Kerrville VA Medical Center,no,Kerrville,Memorial Boulevard,3600,78028.0,hospital,https://www.southtexas.va.gov/locations/kerrville_va_hospital.asp,+1 866 487 1653,Mo-Fr 08:00-16:30; PH off,United States Department of Veterans Affairs,,,,,,
Kimble Hospital,yes,Junction,Reid Road,349,76849.0,hospital,http://www.kimblehospital.org/,325-446-3321,24/7,,15.0,,,,,
Kindred Hospital (Bay Area),no,Pasadena,East Sam Houston Parkway South,4801,77505.0,hospital,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-bay-area,+1 281 991 5463,,Kindred Healthcare,74.0,,,,,
Kindred Hospital El Paso,no,El Paso,Curie Drive,1740,79902.0,hospital,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-el-paso,+1 915 351 9044,,Kindred Healthcare,72.0,Rio Vista Rehabilitation Hospital,,,,
Kindred Hospital Houston Medical Center,no,Houston,Main Street,6441,77030.0,hospital,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-houston-medical-center,+1 713 790 0500,,Kindred Healthcare,,,,,,
Kindred Hospital (Houston Northwest),no,Houston,Fallbrook Drive,11297,77065.0,hospital,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-houston-northwest,+1 281 517 1000,,Kindred Healthcare,84.0,Vencor Hospital Houston,,,,
Kindred Hospital - San Antonio,no,San Antonio,Medical Drive,3636,78229.0,hospital,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-san-antonio,+1 210 616 0616,,Kindred Healthcare,59.0,,,,,
Kindred Hospital Spring,no,Houston,Hollow Tree Lane,205,77090.0,hospital,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-spring,+1 832 249 2700,,Kindred Healthcare,115.0,Triumph Hospital Northwest,,,,
Kindred Hospital Sugar Land,no,Sugar Land,First Colony Boulevard,1550,77479.0,hospital,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-sugar-land,+1 281 275 6000,,Kindred Healthcare,105.0,Triumph Hospitals Southwest,,,,
Kindred Hospital - Tarrant County,no,Fort Worth,Oakmont Boulevard,7800,76132.0,hospital,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-tarrant-county-fort-worth-southwest,+1 817 346 0094,,Kindred Healthcare,,,,,,
Kindred Hospital The Heights,no,Houston,West 26th Street,1800,77008.0,hospital,https://www.kindredhealthcare.com/locations/transitional-care-hospitals/kindred-hospital-the-heights,+1 832 673 4200,,Kindred Healthcare,68.0,,,,,
Kindred Rehabilitation Hospital,no,Arlington,W Randol Mill Rd,2601,76012.0,,http://www.khrehabarlington.com/,817-804-4400,,,,,,,,
Kindred Rehabilitation Hospital Clear Lake,no,Webster,East Medical Center Boulevard,655,77598.0,hospital,https://www.kindredhealthcare.com/locations/inpatient-rehabilitation-hospitals/kindred-rehabilitation-hospital-clear-lake,+1 281 286 1500,,Kindred Healthcare,,,,,,
Kingwood Pines Hospital,no,Kingwood,Ladbrook Drive,2001,77339.0,hospital,https://www.kingwoodpines.com/,+1 281 404 1001,24/7,,,,psychiatry,,,
Knapp Medical Center,yes,Weslaco,East 8th Street,1401,78596.0,hospital,https://www.knappmed.org/,+1 956 968 8567,24/7,Prime Healthcare,,,,,,
Knox County Hospital,yes,Knox City,Southeast 5th Street,701,79529.0,hospital,,+1 940 657 3535,24/7,,28.0,,,,,
Lake Granbury Medical Center,yes,Granbury,Paluxy Road,1310,76048.0,hospital,https://www.lakegranburymedicalcenter.com/,+1 817 573 2273,24/7,,73.0,,,,,
Lamb Healthcare Center,yes,Littlefield,South Sunset Avenue,1500,79339.0,hospital,http://www.lambhc.org/,+1 806 385 6411,24/7,,,,,,,
Laredo Medical Center,yes,Loredo,East Saunders Street,1700,78041.0,hospital,https://www.laredomedical.com/,+1 956 796 5000,24/7,,326.0,,,,,
Las Palmas Medical Center,yes,El Paso,North Oregon Street,2001,79902.0,hospital,https://www.thehospitalsofprovidence.com/our-locations/memorial-campus,+1 915 577 6011,24/7,The Hospitals of Providence,,,,,,
Laurel Ridge,no,San Antonio,Corporate Woods,17720,78259.0,hospital,https://laurelridgetc.com/,+1 210 491 9400,,,,,psychiatry,,,
Lavaca Medical Center,yes,Hallettsville,North Texana Street,1400,77964.0,hospital,http://www.lavacamedcen.com/,+1 361 798 3671,24/7,,,,,,,
Liberty - Dayton Regional Medical Center,yes,Liberty,North Travis Street,1353,77575.0,hospital,,+1 936 336 7316,24/7,,,Kersting Hospital,,,,
Lifecare Hospitals of Fort Worth,no,Fort Worth,Overton Ridge Boulevard,6201,76132.0,hospital,https://www.lifecarehealthpartners.com/region/fortworth,+1 817 370 6078,,LifeCare Health Partners,,,,,,
LifeCare Hospitals of San Antonio,no,San Antonio,Floyd Curl Drive,8902,78240.0,hospital,https://www.lifecarehealthpartners.com/region/sanantonio,+1 210 690 7000,,Lifecare Health Partners,,,,,,
Lillian M. Hudspeth Memorial Hospital,yes,Sonora,,,76950.0,hospital,http://www.sonora-hospital.org/,+1 325 387 2521,24/7,,,,,,,
Limestone Medical Center,yes,Groesbeck,McClintic Drive,701,76642.0,hospital,http://www.groesbeckhospital.com/,+1 254 729 3281,24/7,,20.0,,,,,
Little River Healthcare – Rockdale Hospital,yes,Rockdale,Brazos Avenue,1700,76520.0,hospital,http://lrhealthcare.com/locations/rockdale-hospital,+1 512 446 4500,24/7,Little River Healthcare,,Richards Memorial Hospital,,,,
Longview Regional Medical Center,yes,Longview,North Fourth Street,2901,75605.0,hospital,https://www.longviewregional.com/,+1 903 758 1818,24/7,,,,,,,
Lubbock Heart & Surgical Hospital,yes,Lubbock,North Loop 289,4810,79416.0,hospital,https://lubbockheart.com/home/,+1 806 687 7777,24/7,Lubbock Heart Hospital,,,,,,
Lubbock State Supported Living Center,no,Lubbock,North University Avenue,3401,79415.0,hospital,https://www.dads.state.tx.us/services/SSLC,+1 806 763 7041,,Texas Department of Aging and Disability Services,,,,mental_health,group_home,
Lufkin State Supported Living Center,no,Pollok,N US Highway 69,6844,76969.0,hospital,https://www.dads.state.tx.us/services/SSLC,+1 936 643 3353,,Texas Department of Aging and Disability Services,,,,mental_health,group_home,
Lyndon B. Johnson General Hospital,yes,Houston,Kelley Street,5656,77026.0,hospital,https://www.harrishealth.org/locations-hh/Pages/lbj.aspx,+1 713 566 5100,24/7,Harris Health,207.0,,,,,
Lynn County Hospital District,yes,Tahoka,Lockwood Street,2600,79373.0,hospital,http://lchdhealthcare.org/,+1 806 998 4533,24/7,Lynn County Hospital District,24.0,,,,,
Magnolia Behavioral Hospital,no,Longview,Bermuda Lane,22,75605.0,hospital,https://magnoliabehavioralhospital.com/,+1 866 977 3456,,"Oglethorpe, Inc.",,Behavioral Hospital of Longview,psychiatry,,,
Mainland Medical Center,yes,Texas City,Emmett F. Lowry Expressway,6801,77591.0,hospital,https://mainlandmedical.com/,+1 409 938 5000,24/7,HCA,,Galveston County Memorial Hospital,,,,
Martin County Hospital,yes,Stanton,East Interstate 20,600,79782.0,hospital,https://www.martincountyhospital.org/,+1 432 607 3200,24/7,Martin County Hospital District,18.0,,,,,
Matagorda Regional Medical Center,yes,Bay City,7th Street,104,77465.0,hospital,https://www.matagordaregional.org/,+1 979 245 6383,24/7,,,,,,,
Mayhill Hospital,no,Denton,South Mayhill Road,2809,76208.0,hospital,https://www.mayhillhospital.com/,+1 940 239 3000,,,,,psychiatry,,,
Mays Cancer Center,no,San Antonio,Wurzbach Road,7979,78229.0,hospital,https://www.uthscsa.edu/patient-care/cancer-center,+1 210 450 1000,,UT Health San Antonio,,UT Medicine Cancer Therapy Research Center,oncology,,,
McAllen Heart Hospital,yes,McAllen,South D Street,1900,78503.0,hospital,https://www.mcallenhearthospital.com/,+1 956 994 2000,24/7,Universal Health Services,,,,,,
McAllen Medical Center,yes,McAllen,West Expressway 83,301,78503.0,hospital,https://www.mcallenmedicalcenter.com/,+1 956 632 4000,24/7,Universal Health Services,,,,,,
McCamey County Hospital District,yes,McCamey,South Highway 305,2500,79752.0,hospital,http://www.mccameyhospitaldistrict.org/,+1 432 652 8626,24/7,McCamey County Hospital District,14.0,,,,,
M. D. Anderson Cancer Center,,,,,,hospital,,,,,,,,,,
Medical Arts Hospital,yes,Lamesa,North Bryan Avenue,2200,79331.0,hospital,http://medicalartshospital.org/,+1 806 872 2183,24/7,,,,,,,
Medical Center Hospital,yes,Odessa,West 4th Street,500,79761.0,hospital,http://mchodessa.com/,+1 432 640 6000,24/7,Medical Center Health System,,,,,,
Medical City Alliance,yes,Fort Worth,North Tarrant Parkway,3101,76177.0,hospital,https://medicalcityalliance.com/,+1 817 639 1000,24/7,HCA,75.0,,,,,
Medical City Arlington,yes,Arlington,Matlock Road,3301,76015.0,hospital,https://medicalcityarlington.com/,+1 682 509 6200,24/7,HCA,,Medical Center of Arlington,,,,
Medical City Dallas,yes,Dallas,Forest Lane,7777,75230.0,hospital,https://medicalcityhospital.com/,+1 972 566 7000,24/7,HCA,,,,,,
Medical City Denton,yes,Denton,South Interstate 35,3535,76210.0,hospital,https://medicalcitydenton.com/,+1 940 384 3535,24/7,HCA,,,,,,
Medical City Fort Worth,yes,Fort Worth,8th Avenue,900,76104.0,hospital,https://medicalcityfortworth.com/,+1 817 877 5292,24/7,HCA,,Plaza Medical Center of Fort Worth,,,,
Medical City Green Oaks Hospital,no,Dallas,Clodus Fields Drive,7808,75251.0,hospital,https://medicalcitygreenoaks.com/,+1 972 991 9504,,HCA,,,psychiatry,,,
Medical City Las Colinas,yes,Irving,North MacArthur Boulevard,6800,75039.0,hospital,https://medicalcitylascolinas.com/,+1 972 969 2000,24/7,HCA,,Las Colinas Medical Center,,,,
Medical City Lewisville,yes,Lewisville,West Main Street,500,75057.0,hospital,https://medicalcitylewisville.com/,+1 972 420 1000,24/7,HCA,,Medical Center of Lewisville,,,,
Medical City McKinney,yes,McKinney,Medical Center Drive,4500,75609.0,hospital,https://medicalcitymckinney.com/,+1 972 547 8000,24/7,HCA,260.0,McKinney Medical Center,,,,
Medical City North Hills,yes,North Richland Hills,Booth Calloway Road,4401,76180.0,hospital,https://medicalcitynorthhills.com/,+1 817 255 1000,24/7,HCA,,North Hills Hospital,,,,
Medical City Plano,yes,Plano,West 15th Street,3901,75075.0,hospital,https://medicalcityplano.com/,+1 972 596 6800,24/7,HCA,,Medical Center of Plano,,,,
Medical City Weatherford,yes,Weatherford,East Anderson Street,713,76086.0,hospital,https://medicalcityweatherford.com/,+1 682 582 1000,24/7,HCA,,Campbell Health System,,,,
Medina Regional Hospital,yes,Hondo,Avenue E,3100,78861.0,hospital,https://www.medinahospital.net/,+1 830 426 7700,24/7,Medina Healthcare System,,,,,,
Memorial Herman CCC,,,,,,hospital,,,,,,,,,,
Memorial Hermann Cypress Hospital,yes,Cypress,Northwest Freeway,27800,77433.0,hospital,http://www.memorialhermann.org/locations/cypress/,+1 346 231 4000,24/7,Memorial Hermann,,,,,,
Memorial Hermann Greater Heights Hospital,yes,Houston,North Loop West Frontage Road,1635,77008.0,hospital,http://www.memorialhermann.org/locations/greater-heights/,+1 713 867 2000,24/7,Memorial Hermann,260.0,,,,,
Memorial Hermann Katy Hospital,yes,Katy,Katy Freeway,23900,77494.0,hospital,http://www.memorialhermann.org/locations/katy/,+1 281 644 7000,24/7,Memorial Hermann,,,,,,
Memorial Hermann Memorial City Medical Center,yes,Houston,Gessner Road,921,77024.0,hospital,http://www.memorialhermann.org/locations/memorial-city/,+1 713 242 3000,24/7,Memorial Hermann,,,,,,yes
Memorial Hermann Northeast Hospital,yes,Humble,Memorial North,18951,77338.0,hospital,http://www.memorialhermann.org/locations/northeast/,+1-281-540-7700,24/7,Memorial Hermann,255.0,,general;cardiology;radiology;neurology;trauma;paediatrics;internal;orthopaedics;surgery;gynaecology;physiotherapy,,,
Memorial Hermann Pearland,,,,,,hospital,,,,,,,,,,
Memorial Hermann Southeast Hospital,yes,Houston,Astoria Boulevard,11800,77089.0,hospital,http://www.memorialhermann.org/locations/southeast/,+1 281 929 6100,24/7,Memorial Hermann,293.0,,,,,
Memorial Hermann Southwest Hospital,yes,Houston,Beechnut Street,7600,77074.0,hospital,http://www.memorialhermann.org/locations/southwest/,+1 713 456 5000,24/7,Memorial Hermann,547.0,,,,,
